locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.,Type status,Genus,Species epithet,Collector,Collection Date (Year),Collecting Date (Month),Collecting Date (Day),Country,Prefecture,Island,City/Town,Ward Name,Identifier
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4623,,28660,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4624,,28696,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4625,,28692,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4626,,28666,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4627,,28659,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4628,,28658,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4629,,28657,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4630,,28656,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4631,,28655,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4632,,28654,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
Hachinohe,Japan,Aomori,,40.548019,141.527937,yes,High(84),,"40.473889,141.481245,HACHINOHE|Unavailable|301|High(84),40.516375,141.488995,HACHINOHE|Unavailable|301|High(84)",4633,,28653,,Heterosiphonia,japonica,M. Yoshizaki,1965,7,22,Japan,Aomori,,Hachinohe,,M. Yoshizaki
,,,,,,,,,,,,,,,,,,,,,,,,,
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3037,,28814,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3038,,28813,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3039,,28806,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3040,,28805,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3041,,28804,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3042,,28803,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3043,,28802,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3044,,28801,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3045,,28800,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3046,,28799,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3047,,28798,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3048,,28797,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3049,,28796,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3050,,28795,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3051,,28794,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3052,,28793,,Heterosiphonia,japonica,M. Chihara,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
Hamashima,Japan,Mie,,34.294469,136.745193,yes,High(84),,"34.3,136.75,HAMASHIMA|Unavailable|3036|High(84)",3053,,28792,,Heterosiphonia,japonica,S. Hiraide,1971,3,13,Japan,Mie,,Hamashima,,M. Chihara
hando-jima,Japan,Yamaguchi,,33.779212,132.171567,yes,High(85),,"33.779167,132.175,HANDO-JIMA|Unavailable|301|High(85),40.409923,141.400202,HANDO|Unavailable|3036|Low(35),26.416667,127.733333,JIMA|Unavailable|3036|Low(34)",301,Hando-jima,48617,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Hayama,Japan,Kanagawa,,35.263163,139.57063,yes,High(81),,"35.266667,139.583333,HAYAMA|Unavailable|3036|High(81)",3037,,169776,,Heterosiphonia,japonica,T. Kitayama,2002,2,16,Japan,Kanagawa,,Hayama,,T. Kitayama
,,,,,,,,,,,,,,,,,,,,,,,,,
Hidaka,Japan,Wakayama,,33.913824,135.072838,yes,High(81),,"33.883333,135.15,HIDAKA|Unavailable|3036|High(81)",3037,,28674,,Heterosiphonia,japonica,T. Yamamoto,1963,4,1,Japan,Wakayama,,Hidaka,,
Hidaka,Japan,Wakayama,,33.913824,135.072838,yes,High(81),,"33.883333,135.15,HIDAKA|Unavailable|3036|High(81)",3038,,28675,,Heterosiphonia,japonica,T. Yamamoto,1963,4,1,Japan,Wakayama,,Hidaka,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13930,,166548,,Heterosiphonia,japonica,M. Hirai,1966,1,9,Japan,Aomori,,Higashidori,,
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13931,,28828,,Heterosiphonia,japonica,M. Chihara,1968,3,17,Japan,Aomori,,Higashidori,,M. Chihara
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13932,,28826,,Heterosiphonia,japonica,M. Chihara,1968,3,17,Japan,Aomori,,Higashidori,,M. Chihara
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13933,,28825,,Heterosiphonia,japonica,M. Chihara,1968,3,17,Japan,Aomori,,Higashidori,,M. Chihara
Higashidori,Japan,Aomori,,41.34536,141.452213,yes,High(86),,"41.278311,141.351963,HIGASHIDORI|Unavailable|301|High(86)",13934,,28824,,Heterosiphonia,japonica,M. Chihara,1968,3,17,Japan,Aomori,,Higashidori,,M. Chihara
,,,,,,,,,,,,,,,,,,,,,,,,,
Hiroshima,Japan,Hiroshima,,34.34118,132.431311,yes,High(84),Unavailable,"34.606726,132.785427,HIROSHIMA|Unavailable|301|High(84),34.39729,132.475943,HIROSHIMA|Unavailable|301|High(84),34.479415,132.453119,HIROSHIMA|Unavailable|301|High(84)",5468,,150009,,Heterosiphonia,japonica,H. Tanaka,1987,4,29,Japan,Hiroshima,,Hiroshima,,H. Tanaka
Hiroshima,Japan,Hiroshima,,34.34118,132.431311,yes,High(84),Unavailable,"34.606726,132.785427,HIROSHIMA|Unavailable|301|High(84),34.39729,132.475943,HIROSHIMA|Unavailable|301|High(84),34.479415,132.453119,HIROSHIMA|Unavailable|301|High(84)",5469,,151341,,Heterosiphonia,japonica,H. Tanaka,2000,6,2,Japan,Hiroshima,,Hiroshima,,H. Tanaka
Hiroshima,Japan,Hiroshima,,34.34118,132.431311,yes,High(84),Unavailable,"34.606726,132.785427,HIROSHIMA|Unavailable|301|High(84),34.39729,132.475943,HIROSHIMA|Unavailable|301|High(84),34.479415,132.453119,HIROSHIMA|Unavailable|301|High(84)",5470,,151342,,Heterosiphonia,japonica,H. Tanaka,2002,3,17,Japan,Hiroshima,,Hiroshima,,H. Tanaka
Hiroshima,Japan,Hiroshima,,34.34118,132.431311,yes,High(84),Unavailable,"34.606726,132.785427,HIROSHIMA|Unavailable|301|High(84),34.39729,132.475943,HIROSHIMA|Unavailable|301|High(84),34.479415,132.453119,HIROSHIMA|Unavailable|301|High(84)",5471,,151343,,Heterosiphonia,japonica,H. Tanaka,2002,4,13,Japan,Hiroshima,,Hiroshima,,H. Tanaka
,,,,,,,,,,,,,,,,,,,,,,,,,
Hitachi,Japan,Ibaraki,,36.587861,140.670381,yes,High(82),,"36.633333,140.6,HITACHI|Unavailable|3036|High(82),36.62492,140.618756,HITACHI|Unavailable|301|High(82),36.6,140.65,HITACHI|Unavailable|3036|High(82)",4329,,158834,,Heterosiphonia,japonica,T. Kitayama,2002,5,27,Japan,Ibaraki,,Hitachi,,T. Kitayama
Hitachi,Japan,Ibaraki,,36.587861,140.670381,yes,High(82),,"36.633333,140.6,HITACHI|Unavailable|3036|High(82),36.62492,140.618756,HITACHI|Unavailable|301|High(82),36.6,140.65,HITACHI|Unavailable|3036|High(82)",4330,,163786,,Heterosiphonia,japonica,M. Nakaniwa,2003,7,29,Japan,Ibaraki,,Hitachi,,M. Nakaniwa
Hitachi,Japan,Ibaraki,,36.587861,140.670381,yes,High(82),,"36.633333,140.6,HITACHI|Unavailable|3036|High(82),36.62492,140.618756,HITACHI|Unavailable|301|High(82),36.6,140.65,HITACHI|Unavailable|3036|High(82)",4331,,181875,,Heterosiphonia,japonica,M. Nakaniwa,2003,7,29,Japan,Ibaraki,,Hitachi,,M. Nakaniwa
,,,,,,,,,,,,,,,,,,,,,,,,,
"Iduhara, Tsushima",Japan,Nagasaki,,34.190238,129.303764,yes,Low(38),,"34.333333,129.333333,TSUSHIMA|Unavailable|301|Low(38)",9024,,28755,,Heterosiphonia,japonica,M. Chihara,1969,3,17,Japan,Nagasaki,,"Iduhara, Tsushima",,M. Chihara
,,,,,,,,,,,,,,,,,,,,,,,,,
Isumi,Japan,Chiba,,35.259473,140.408723,yes,,,,3831,,181468,,Heterosiphonia,japonica,T. Kitayama,2013,4,26,Japan,Chiba,,Isumi,,T. Kitayama
,,,,,,,,,,,,,,,,,,,,,,,,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",970,,151866,,Heterosiphonia,japonica,T. Kawase,1964,4,13,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",971,,151867,,Heterosiphonia,japonica,T. Kawase,1964,4,13,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",972,,28763,,Heterosiphonia,japonica,M. Chihara,1965,4,2,Japan,Kanagawa,,Kamakura,,M. Yoshizaki
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",973,,28762,,Heterosiphonia,japonica,M. Chihara,1965,4,2,Japan,Kanagawa,,Kamakura,,M. Yoshizaki
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",974,,28790,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",975,,28789,,Heterosiphonia,japonica,M. Yoshizaki,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",976,,28788,,Heterosiphonia,japonica,M. Yoshizaki,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",977,,28787,,Heterosiphonia,japonica,M. Yoshizaki,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",978,,38754,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",979,,38755,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",980,,28736,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",981,,28737,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",982,,28693,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",983,,28676,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",984,,28670,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",985,,28668,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",986,,28667,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",987,,28662,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",988,,166547,,Heterosiphonia,japonica,M. Chihara,1966,3,22,Japan,Kanagawa,,Kamakura,,
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",989,,39315,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",990,,39316,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",991,,39317,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",992,,39318,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",993,,39319,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",994,,39320,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",995,,39321,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",996,,39322,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
Kamakura,Japan,Kanagawa,,35.302334,139.540728,yes,High(83),,"35.329998,139.537981,KAMAKURA|Unavailable|301|High(83),35.308889,139.550278,KAMAKURA|Unavailable|3036|High(83)",997,,39323,,Heterosiphonia,japonica,M. Chihara,1967,1,22,Japan,Kanagawa,,Kamakura,,M. Chihara
