locality string,country,Prefecture,county,latitude,longitude,correction status,precision,error polygon,multiple results,uncertainty radius,Island,TNS No.
Fukue,Japan,Nagasaki,,32.698819,128.862715,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3036,Fukue,153062
Fukue,Japan,Nagasaki,,32.694413,128.85911,yes,High(80),,"32.688056,128.841944,FUKUE|Unavailable|3036|High(80)",3036,,49459
"Iduhara, Tsushima",Japan,Nagasaki,,34.190238,129.303764,yes,Low(38),,"34.333333,129.333333,TSUSHIMA|Unavailable|301|Low(38)",9023,,28755
Aikawa,Japan,Niigata,,38.033333,138.234379,yes,High(81),,"38.033333,138.25,AIKAWA|Unavailable|3036|High(81)",3036,Sado,166824
Niigata,Japan,Niigata,,37.932015,139.027388,yes,High(82),Unavailable,"37.523433,138.91748,NIIGATA|Unavailable|301|High(82),37.827378,139.033025,NIIGATA|Unavailable|301|High(82),37.902222,139.023611,NIIGATA|Unavailable|301|High(82),37.912005,139.061745,NIIGATA|Unavailable|301|High(82)",17138,,170717
Ryotsu,Japan,Niigata,,38.083941,138.440543,yes,High(81),,"38.083333,138.433333,RYOTSU|Unavailable|3036|High(81)",3036,Sado,182581
Ryotsu,Japan,Niigata,,38.083333,138.442946,yes,High(81),,"38.083333,138.433333,RYOTSU|Unavailable|3036|High(81)",3036,,166823
Sado,Japan,Niigata,,37.97816,138.303687,yes,High(79),,"38.024963,138.359305,SADO|Unavailable|3036|High(79),38.04439,138.389844,SADO|Unavailable|301|High(79),38,138.416667,SADO|Unavailable|301|High(79)",4005,Sado,175123
,Japan,Niigata,,38.024276,138.376313,yes,,,,29441,Sado,28746
Minamiizu,Japan,Shizuoka,,34.61504,138.872151,yes,,,,3600,,176742
Minami-Izu,Japan,Shizuoka,,34.61504,138.872151,yes,Low(36),,"25.819444,131.25,MINAMI|Unavailable|3036|Low(36),24.779549,141.323603,MINAMI|Unavailable|3036|Low(36),36.066667,133.1,MINAMI|Unavailable|3036|Low(36)",3638,,28664
Shimoda,Japan,Shizuoka,,34.661443,138.947082,yes,High(82),,"34.666667,138.95,SHIMODA|Unavailable|3036|High(82),34.708793,138.921476,SHIMODA|Unavailable|301|High(82)",3036,,161375
,Japan,Shizuoka,,35.020959,138.347454,yes,,,,109295,,166550
,Japan,Tottori,,35.583577,134.219342,yes,,,,55581,,28758
Hidaka,Japan,Wakayama,,33.913824,135.072838,yes,High(81),,"33.883333,135.15,HIDAKA|Unavailable|3036|High(81)",3036,,28674
Kushimoto,Japan,Wakayama,,33.467669,135.785736,yes,High(84),,"33.466667,135.783333,KUSHIMOTO|Unavailable|3036|High(84)",3036,,45160
hando-jima,Japan,Yamaguchi,,33.779212,132.171567,yes,High(85),,"33.779167,132.175,HANDO-JIMA|Unavailable|301|High(85),40.409923,141.400202,HANDO|Unavailable|3036|Low(35),26.416667,127.733333,JIMA|Unavailable|3036|Low(34)",301,Hando-jima,48617
